"Comune","A domicilio","Deceduti","Guariti/Dimessi","Ricoverati","Totale casi"
"SPEZZANO DELLA SILA",45,0,0,4,49
"TARSIA",0,0,0,0,0
"TERRANOVA DA SIBARI",0,0,3,0,3
"TERRAVECCHIA",0,0,0,0,0
"TORANO CASTELLO",12,6,73,3,94
"TORTORA",0,0,2,0,2
"TREBISACCE",3,0,1,1,5
"VACCARIZZO ALBANESE",2,0,0,1,3
"VERBICARO",2,0,0,0,2
"VILLAPIANA",1,0,4,0,5
"ZUMPANO",22,0,0,0,22
